chain_id	chain_name	products
7290526500006	Dabach	68
7290027600007	שופרסל	66
7290058140886	רמי לוי שיווק השקמה	66
7290876100000	פרש מרקט	62
7290873255550	טיב טעם	62
7291059100008	פוליצר	61
7290492000005	Dor Alon	60
7290058108879	אלמשהדאוי קינג סטור בע"מ	59
7290700100008	חצי חינם	59
7290058177776	סופר יודה	57
7290803800003	מ. יוחננוף ובניו	50
7290103152017	אושר עד	43
7290000000003	סיטי מרקט	42
7290055700007	קרפור	29
7290661400001	מחסני השוק	26
7290696200003	ויקטורי	24
7290639000004	סטופמרקט	21
7290455000004	HET_COHEN_NEW_SOURCE	20
7290058156016	אבות אברהם בע"מ	16
7290058148776	שוק העיר (ט.ע.מ.ס.) בע"מ	13
7290058289400	קי טי יבוא ושווק בע"מ	11
7290785400000	קשת טעמים	8
7290058134977	שפע ברכת השם בע"מ	8
7290644700005	YELLOW	6
7290058159628	ג.מ. מעיין אלפיים (07) בע"מ	5
