slug	name_he	kind	chain_id	chain_name	barcode	chain_product_name	price	note
apple	תפוח	fruit	7290058108879	אלמשהדאוי קינג סטור בע"מ	777289	תפוח ברשת	5	ברשת, זן לא מצוין
apple	תפוח	fruit	7290058140886	רמי לוי שיווק השקמה	7290000002013	תפוח עץ בשקית	5.9	בשקית, זן לא מצוין
apple	תפוח	fruit	7290027600007	שופרסל	7290000922317	תפוח עץ ברשת ביכורי שדה	6.9	ברשת, זן לא מצוין
apple	תפוח	fruit	7290876100000	פרש מרקט	7290000991961	תפוח ברשת	8.9	ברשת, זן לא מצוין
apple	תפוח	fruit	7290000000003	סיטי מרקט	054755	תפוחים בחוץ	12.9	זן לא מצוין
apple-gala	תפוח גאלה	fruit	7290058108879	אלמשהדאוי קינג סטור בע"מ	777498	תפוח גלה	7.9	
apple-gala	תפוח גאלה	fruit	7290103152017	אושר עד	7290009001884	תפוח עץ גאלה ברשת	8.9	
apple-gala	תפוח גאלה	fruit	7290058140886	רמי לוי שיווק השקמה	7290000000219	תפוח עץ גאלה	10.9	
apple-gala	תפוח גאלה	fruit	7290027600007	שופרסל	7290000914084	תפוח עץ גאלה מולדובה *	10.9	
apple-gala	תפוח גאלה	fruit	7290058289400	קי טי יבוא ושווק בע"מ	6437646958061	תפוח גאלה	11.9	
apple-gala	תפוח גאלה	fruit	7290526500006	Dabach	7290000000094	תפוח גאלה	12.9	
apple-gala	תפוח גאלה	fruit	7290700100008	חצי חינם	7290000014166	תפוח עץ גלה	12.9	
apple-gala	תפוח גאלה	fruit	7291059100008	פוליצר	7290000000189	תפוח עץ גלה ישראל	12.9	
apple-gala	תפוח גאלה	fruit	7290876100000	פרש מרקט	7290000999036	תפוח  גלה	12.9	
apple-gala	תפוח גאלה	fruit	7290055700007	קרפור	7290000005666	תפוח עץ גלה	12.9	
apple-gala	תפוח גאלה	fruit	7290492000005	Dor Alon	7290000043975	תפוח עץ גאלה	13.9	
apple-gala	תפוח גאלה	fruit	7290803800003	מ. יוחננוף ובניו	7290018758076	תפוח עץ גאלה ארוז  ב	19.9	
apple-gala	תפוח גאלה	fruit	7290058177776	סופר יודה	7290000999036	תפוח גלה	19.9	
apple-golden	תפוח זהוב	fruit	7290526500006	Dabach	7290000000290	תפוח זהוב ברשת	7.9	ברשת
apple-golden	תפוח זהוב	fruit	7290803800003	מ. יוחננוף ובניו	7290000000792	תפוח עץ מוזהב	9.9	מוזהב
apple-golden	תפוח זהוב	fruit	7290058140886	רמי לוי שיווק השקמה	7290000000115	תפוח עץ מוזהב	9.9	מוזהב
apple-golden	תפוח זהוב	fruit	7290000000003	סיטי מרקט	100003	תפוח זהוב בחוץ	9.9	
apple-golden	תפוח זהוב	fruit	7290103152017	אושר עד	7290009007022	תפוח עץ מוזהב	10.9	מוזהב
apple-golden	תפוח זהוב	fruit	7290027600007	שופרסל	7290000963105	תפוח עץ זהוב	10.9	
apple-golden	תפוח זהוב	fruit	7290700100008	חצי חינם	7290000014081	תפוח עץ זהוב	12.9	
apple-golden	תפוח זהוב	fruit	7291059100008	פוליצר	7290000000075	תפוח עץ זהוב ישראל	12.9	
apple-golden	תפוח זהוב	fruit	7290661400001	מחסני השוק	8268158	תפוח מוזהב ארוז	12.9	מוזהב
