barcode	current_name	proposed_name	decision	reason
0000098184064	ביצים L תבנית 30	ביציםL 30	reject	merges words with no space, drops "tray"
008421363650	בובת טוי	בובת טיי	accept	TY is the actual brand (confirmed by another row with "בובת TY"), not generic "toy"
008421364664	בובת טוי	בובת טיי	accept	same TY-brand correction
008421364770	בובת טוי	בובה ריח	reject	unclear/likely wrong candidate ("scented doll"), not a clear improvement
008421364923	בובה כלב פיראט	בובת טוי	reject	loses specific character identity (dog pirate) for generic "toy doll"
008421425136	בובת TY כחולה	בובת טיי	reject	loses color (blue)
010900000840	רדיד אלומיניות קטן	נייר כסף121.	reject	garbled, stray "121." suffix
010900000871	רדיד אלומיניום גדול	נייר כסף.	reject	loses size (large)
010900100878	נייר אלומיניום דיימונד ארוך	נייר כסף דיימונד	reject	loses size (long)
011543345145	מכונית	כבאית	accept	more specific vehicle type (fire truck) than generic "car", same length
015300200548	מקרונים ציטוס	מק אנד ציז	accept	clarifies actual product (Mac & Cheese) vs garbled brand reference
016000125933	דגני בוקר קינמון	קינמונים קראנץ	reject	drops "cereal" category word, grammatically odd plural
025675300507	סוכריות ג'לי תות	ג'לי בינס	reject	loses strawberry flavor distinction
025675300521	סוכריות ג'לי פירות	ג'לי בינס	reject	loses fruit flavor distinction
025675810709	קרקר ללא גלוטן טבעי	פצקס קרקר ללא גלוטן	reject	loses flavor variant (natural) needed to distinguish from seasoned/pepper SKUs
025675810730	קרקר ללא גלוטן מתובל	פצקס קרקר ללא גלוטן	reject	loses flavor variant (seasoned)
025675810747	קרקר ללא גלוטן פלפל שחור	פצקס קרקר ללא גלוטן	reject	loses flavor variant (black pepper)
025700005681	20 שקיות לאחסון בינוניות	שקיות זיפ	reject	loses count (20) and size (medium)
029424000571	וופל מנעמים אגוזים	מנעמים 800 גר	reject	loses "waffle" and "nuts" flavor for a weight figure
029424000793	ופל מנעמים מצופה	וופל מנעמים	reject	loses "coated" variant descriptor
029424000854	מנעמים גליליות	גלילי ופל	accept	clarifies it's a waffle-roll product, current name alone doesn't say what kind of roll
029617	יטבתה שמנת 100 גרם	שמנת100 .	reject	garbled, loses brand (Yotvata)
031290140237	גודייבה אצבעות שוקולד חלב 90 גרם	GODIVA	reject	massive info loss (flavor, form, weight all dropped)
031290721894	גודיבה תפוז מריר	גודיבה מריר תפוז	reject	same words reordered, no real change
032134227008	סוכריות חמוצות	סכריות חמוצות	reject	introduces misspelling (missing ו)
032134271025	נרדס דובונים חמוצים	סוכריות חמוצות פטל	reject	loses distinctive "bears" shape/product identity
034000432905	ריסז מיניאטורס עטופים	ריזס מיני עטופים	reject	no meaningful gain, just reworded
034000473557	REESES PEANUT BUTTER	בית שוקולד ריזס	reject	loses "peanut butter" flavor, vague replacement
038000276453	חטיף פרינגלס בטעם דבש חריף	פרינגלס הוט דבש	accept	keeps flavor identity (Hot Honey) concisely, only drops generic "snack" word
038000284472	פרינגלס הבנרו (ורוד)	פרינגלס מקסיקני ליים	reject	flavor identity looks mismatched (Habanero vs Mexican Lime)
038000844980	פרינגלס צאדר	פרינגלס כתום	reject	loses specific flavor name (Cheddar) for vague color (orange)
038200000940	מלפפון ואן הולטנס סוואר	מלפפון חמוץ חריף	reject	loses brand (Van Holten's)
04139548	רוטב טריאקי	קיקומן	reject	loses product type (teriyaki sauce), brand alone is ambiguous
042400236627	דיגני בוקר עם מרשמלו	מרשמלו מייטיס 320 גר	accept	adds actual product name (Marshmallow Mateys) and weight, more useful than generic (typo'd) current name
044600317151	כלורקס בעלי חיים	כלורקס לכלבים	accept	more specific target (dogs) than generic "animals"
049508004219	בייגלה	פרעצל	reject	no clear improvement, current is the established local name for this snack
049508004233	בייגלה	פרעצל	reject	same as above
050000051472	פריסקיז מעדני הבית	חתול	reject	massive info loss, drops brand and product line entirely
050000169238	חטיפי פריסקיז	מזון לחתולים	reject	loses brand, changes category (treats -> food)
050000428946	פנסי פיסט דג קוד ושרימפס {אסם	פנסי דגי קוד	reject	loses "shrimp" ingredient despite current's cosmetic garbling
050000577958	פריסקיז נתחי עוף וטונה ברוטב	פריסקיז טייסטי	reject	loses ingredient specificity (chicken, tuna, gravy)
054881005654	תה ירוק פרחי יסמין	תה אחמד יסמין	reject	loses "green" tea type qualifier
054881007115	תה שחור וניל 20 שקיות	תה אחמד ונילה	reject	loses tea type (black) and count (20 bags)
05996160	נקניקיות פרימיום צוריטוס	נקניקיות עוף	reject	conflicting flavor identity (chorizo vs generic chicken)
0608614323746	גרעיני חמנייה זריפה	זריפה גרעיני חמניה	reject	same words reordered, no real change
070462006605	סואר קידס	סאוור פאץ	accept	corrects to the actual recognized brand name (Sour Patch) vs a garbled rendering
070462006629	סוכריות גומי פירות טרופיים	סאוור פאץ	reject	loses flavor (tropical fruits) for a bare brand name
070970000324	מייק אנד לייק	סוכריות גלי	reject	loses actual brand name (Mike and Ike), replaced with vague term
070970475269	מייק לייק אמריקה	מייק & לייק מגה	reject	variant name conflict (America vs Mega), unverifiable
074570004003	פיינט גלידת האגן דאז וניל	גלידה האגן דאז בטעם וניל	accept	clearer phrasing, keeps brand+flavor; "pint" alone wasn't a quantitative size
076406021901	ג'ומקס משקה אפרסק	ג'ומקס אפרסק פחית	accept	"can" is a real container detail, keeps brand+flavor
078000035483	דוקטור פפר זירו	ד"ר פפר זירו	accept	standard Hebrew abbreviation, no info loss
1000001	3 אקסל ב-11.90 ש"ח	3 אקסל ב-10	reject	embedded price changed (11.90 -> 10), unverifiable/not an improvement
1000001905167	מלקחיים (190516) ניר	מלקחיים נירוסטה גדול	accept	drops internal code artifact, adds real descriptive info (material, size)
1000006348037	סופר שוטר	צעצוע	reject	massive info loss (specific toy name -> generic "toy")
1000010621539	סולמות וחבלים	נחשים וסולמות	accept	corrects to the actual standard game name (Snakes and Ladders)
1000021799821	מסוק שלט שעון יד	מטוס על שלט	reject	conflicting product type (helicopter vs airplane)
1000029036300	חביב משטח לייבוש כלי	משטח מיקרופייבר	reject	loses brand and specific use-case (dish drying)
1000043111304	ערכת צבעים	משחק	reject	massive info loss (coloring kit -> generic "game")
1000044298639	אקדח ברטה	רובה חצים	reject	conflicting product type (pistol vs rifle), loses brand
1014158	לשון בקר מחפוד קפוא	לשון בקר חלק מחפוד.	reject	trailing-period artifact suggests truncation, loses "frozen" status
1053003	פילה נסיכת הנילוס פרוס.	נסיכת הנילוס פרוס קפוא	accept	fixes truncation artifact, adds "frozen" status
10900000871	דיאמונד נייר כסף 37.	נייר כסף.	reject	loses brand (Diamond) and size number, still truncated itself
10900035194	דיימונד שקיות זיפר למזון גדול 20 יח	שקיות זיפר L 20 יחידות	reject	loses brand (Diamond)
109580166	פרימים סוורלד קלאסי	פרימיום סרוו	reject	both unclear/garbled, no confident improvement
109580739	נקניקות עוף ובקר	צוריסו עוף	reject	conflicting meat composition/type (chicken+beef vs chorizo chicken)
109581118	קציצות עוף בעגבניות על אורז	קציצות עוף ברוטב עגבניות	reject	loses "over rice" serving detail
109581149	צילי קון קרנה 400 גרם	צילי קון קרנה 400 ג'	reject	no genuine improvement, just abbreviation swap
11182701388	קינג קול שעועית פינטו 454 גרם	קינג קול שעועית פינטו 439 גרם	reject	conflicting weight figure (454 vs 439), unverifiable
11210694156	טבסקו סרירצה מתוק חריף 256 גר`	טבסקו מתוק חריף 256 מ"ל	reject	loses "Sriracha" product line name
11210697003	רוטב טבסקו פלפל צילי	טבסקו רוטב סיראגה לח	reject	low-confidence capping-fallback source, garbled text
11778224	ביצים מן הטבע תבנית	מן הטבע תבנית 30 L	reject	low-confidence capping-fallback, drops the actual product word "eggs"
